snr	1	0.98	0.96	0.94	0.92	0.9	0.88	0.86	0.84	0.82	0.8	0.78	0.76	0.74	0.72	0.7	0.68	0.66	0.64	0.62	0.6	0.58	0.56	0.54	0.52	0.5
0	1.48E-01	1.86E-01	1.85E-01	1.84E-01	1.80E-01	1.77E-01	1.77E-01	1.72E-01	1.65E-01	1.39E-01	1.63E-01	1.64E-01	1.61E-01	1.54E-01	1.55E-01	1.53E-01	1.52E-01	1.52E-01	1.28E-01	1.50E-01	1.51E-01	1.51E-01	1.51E-01	1.52E-01	1.51E-01	1.47E-01
0.25	1.77E-01	1.76E-01	1.75E-01	1.76E-01	1.69E-01	1.65E-01	1.65E-01	1.58E-01	1.50E-01	1.47E-01	1.48E-01	1.48E-01	1.45E-01	1.38E-01	1.39E-01	1.38E-01	1.37E-01	1.38E-01	1.36E-01	1.38E-01	1.35E-01	1.37E-01	1.37E-01	1.37E-01	1.37E-01	1.38E-01
0.5	1.66E-01	1.66E-01	1.65E-01	1.63E-01	1.53E-01	1.48E-01	1.46E-01	1.38E-01	1.27E-01	1.25E-01	1.27E-01	1.24E-01	1.25E-01	1.15E-01	1.17E-01	1.18E-01	1.17E-01	1.18E-01	1.17E-01	1.19E-01	1.19E-01	1.20E-01	1.21E-01	1.21E-01	1.22E-01	1.25E-01
0.75	1.51E-01	1.50E-01	1.48E-01	1.46E-01	1.31E-01	1.22E-01	1.22E-01	1.11E-01	9.82E-02	1.01E-01	9.80E-02	9.56E-02	9.44E-02	8.92E-02	8.96E-02	9.06E-02	9.07E-02	9.29E-02	9.59E-02	9.83E-02	9.81E-02	9.91E-02	1.04E-01	1.05E-01	1.04E-01	1.11E-01
1	1.24E-01	1.26E-01	1.20E-01	1.19E-01	9.78E-02	9.06E-02	8.75E-02	7.49E-02	6.75E-02	6.68E-02	6.71E-02	6.38E-02	6.28E-02	6.06E-02	6.31E-02	6.38E-02	6.60E-02	6.77E-02	7.23E-02	7.64E-02	7.71E-02	7.99E-02	8.57E-02	8.52E-02	8.58E-02	9.58E-02
1.25	9.23E-02	9.07E-02	8.63E-02	8.14E-02	6.23E-02	5.46E-02	5.20E-02	4.12E-02	3.87E-02	3.72E-02	3.82E-02	3.66E-02	3.74E-02	3.63E-02	3.84E-02	4.12E-02	4.48E-02	4.39E-02	5.13E-02	5.50E-02	5.47E-02	6.11E-02	6.55E-02	6.65E-02	6.62E-02	7.91E-02
1.5	5.48E-02	5.53E-02	5.28E-02	4.53E-02	3.10E-02	2.58E-02	2.61E-02	2.33E-02	1.97E-02	2.03E-02	1.94E-02	2.21E-02	2.13E-02	2.10E-02	2.27E-02	2.56E-02	2.73E-02	2.93E-02	3.44E-02	3.99E-02	3.92E-02	4.37E-02	5.02E-02	5.16E-02	5.25E-02	6.52E-02
1.75	2.74E-02	2.91E-02	2.52E-02	1.93E-02	1.54E-02	1.37E-02	1.28E-02	1.13E-02	1.02E-02	1.03E-02	1.01E-02	1.21E-02	1.26E-02	1.37E-02	1.44E-02	1.53E-02	1.85E-02	1.87E-02	2.40E-02	2.65E-02	2.72E-02	3.13E-02	3.84E-02	4.03E-02	3.95E-02	5.27E-02
2	1.05E-02	1.12E-02	1.04E-02	8.27E-03	6.85E-03	6.47E-03	6.21E-03	5.97E-03	6.92E-03	7.55E-03	7.30E-03	8.21E-03	8.78E-03	9.27E-03	9.53E-03	1.13E-02	1.26E-02	1.35E-02	1.66E-02	1.96E-02	2.01E-02	2.33E-02	2.88E-02	3.15E-02	3.08E-02	4.15E-02
