Eb/N0 in dB	FER 648	BER 648	FER 1944	BER 1944	FER 1944 offset 0.15	BER 1944 offset 0.15	BER 648 Normalized 0.86
0	1	0.187962963	1	0.1882030178	1	0.1670096022	0.151441358
0.5	1	0.1780864198	1	0.1764060357	1	0.1224279835	0.1043055556
1	0.9375	0.1264467593	1	0.1317901235	0.8333333333	0.06095679012	0.04813271605
1.25	0.652173913	0.09903381643	1	0.120473251	0.5357142857	0.02177028219	0.0267962963
1.5	0.5769230769	0.06825735992	0.6818181818	0.0679479985	0.1898734177	0.00296921394	0.008962962963
1.75	0.3571428571	0.04515726044	0.3	0.0154526749	0.02222222222	4.80E-05	0.003456790123
2	0.15	0.0100617284	0.04437869822	0.000532666131	0.001	2.06E-06	0.0006481481481
2.25	0.0321888412	0.001867747576	0.004970178926	7.72E-05	0	0	4.94E-05
2.5	0.01130369254	0.0007605570906	0	0	0	0	0
2.75	0.001560386976	8.03E-05	0	0	0	0	0
3	0.0004	2.79E-05	0	0	0	0	0
